# Source-calibrated SignWell geometry baseline.
#
# Each line is api_id|page|type|recipient_id|x|y|width|height in SignWell's
# 96-DPI top-origin coordinate system. Change this file only with a new
# source-calibrated map review and completed provider-PDF evidence.
txr1501_associate_date_p6|6|date|associate|336|683|48|18
txr1501_associate_signature_p6|6|signature|associate|48|677|240|24
txr1501_client1_date_p6|6|date|1|720|572|48|18
txr1501_client1_signature_p6|6|signature|1|432|566|272|24
txr1501_client2_date_p6|6|date|2|720|683|48|18
txr1501_client2_signature_p6|6|signature|2|432|677|272|24
txr1506_associate_date_p6|6|date|associate|432|800|96|20
txr1506_associate_signature_p6|6|signature|associate|80|799|304|26
txr1506_client1_date_p6|6|date|1|432|893|96|20
txr1506_client1_initials_p1|1|initials|1|444|976|50|16
txr1506_client1_initials_p2|2|initials|1|480|976|55|16
txr1506_client1_initials_p3|3|initials|1|480|976|55|16
txr1506_client1_initials_p4|4|initials|1|480|976|55|16
txr1506_client1_initials_p5|5|initials|1|480|976|55|16
txr1506_client1_signature_p6|6|signature|1|48|893|336|26
txr1506_client2_date_p6|6|date|2|432|939|96|20
txr1506_client2_initials_p1|1|initials|2|512|976|40|16
txr1506_client2_initials_p2|2|initials|2|554|976|55|16
txr1506_client2_initials_p3|3|initials|2|554|976|55|16
txr1506_client2_initials_p4|4|initials|2|554|976|55|16
txr1506_client2_initials_p5|5|initials|2|554|976|55|16
txr1506_client2_signature_p6|6|signature|2|48|939|336|26
txr1507_associate_date_p2|2|date|associate|336|694|48|18
txr1507_associate_initials_p1|1|initials|associate|435|984|47|14
txr1507_associate_signature_p2|2|signature|associate|48|688|240|24
txr1507_client1_date_p2|2|date|1|720|694|48|18
txr1507_client1_initials_p1|1|initials|1|542|984|47|14
txr1507_client1_signature_p2|2|signature|1|432|688|272|24
txr1507_client2_date_p2|2|date|2|720|804|48|18
txr1507_client2_initials_p1|1|initials|2|596|984|47|14
txr1507_client2_signature_p2|2|signature|2|432|798|272|24
txr1508_agent_date_p1|1|date|associate|625|677|121|20
txr1508_agent_initials_p1|1|initials|associate|347|679|95|18
txr1508_client1_date_p1|1|date|1|625|734|121|20
txr1508_client1_initials_p1|1|initials|1|518|736|61|18
txr1508_client2_date_p1|1|date|2|625|792|121|20
txr1508_client2_initials_p1|1|initials|2|518|794|61|18
txr1905_buyer1_signature_p1|1|signature|1|75|807|340|24
txr1905_buyer2_signature_p1|1|signature|2|75|883|340|24
txr1905_seller1_signature_p1|1|signature|3|440|807|310|24
txr1905_seller2_signature_p1|1|signature|4|440|883|310|24
txr1914_buyer1_signature_p2|2|signature|1|55|718|340|24
txr1914_buyer2_signature_p2|2|signature|2|55|820|340|24
txr1914_seller1_signature_p2|2|signature|3|415|718|340|24
txr1914_seller2_signature_p2|2|signature|4|415|820|340|24
txr1917_buyer1_signature_p1|1|signature|1|70|686|313|24
txr1917_buyer2_signature_p1|1|signature|2|70|780|313|24
txr1917_seller1_signature_p1|1|signature|3|433|686|313|24
txr1917_seller2_signature_p1|1|signature|4|433|780|313|24
txr1919_buyer1_signature_p2|2|signature|1|60|632|325|24
txr1919_buyer2_signature_p2|2|signature|2|60|716|325|24
txr1919_seller1_signature_p2|2|signature|3|432|632|325|24
txr1919_seller2_signature_p2|2|signature|4|432|716|325|24
txr1948_buyer1_signature_p1|1|signature|1|58|764|336|26
txr1948_buyer2_signature_p1|1|signature|2|58|852|336|26
txr1948_seller1_signature_p1|1|signature|3|424|764|318|26
txr1948_seller2_signature_p1|1|signature|4|424|852|318|26
txr1953_buyer1_signature_p1|1|signature|1|70|802|306|26
txr1953_buyer2_signature_p1|1|signature|2|70|875|306|26
txr1953_seller1_signature_p1|1|signature|3|440|802|302|26
txr1953_seller2_signature_p1|1|signature|4|440|875|302|26
txr1954_buyer1_signature_p1|1|signature|1|64|774|335|26
txr1954_buyer2_signature_p1|1|signature|2|64|876|335|26
txr1954_seller1_signature_p1|1|signature|3|418|774|324|26
txr1954_seller2_signature_p1|1|signature|4|418|876|324|26
